coding	meaning	node_id	parent_id	selectable
-11	E11	-11	1000	Y
-10	E10	-10	1000	Y
-9	E9	-9	1000	Y
-8	E8	-8	1000	Y
-7	E7	-7	1000	Y
-6	E6	-6	1000	Y
-5	E5	-5	1000	Y
-4	E4	-4	1000	Y
-3	E3	-3	1000	Y
-2	E2	-2	1000	Y
-1	E1	-1	1000	Y
1	K1	1	2000	Y
2	K2	2	2000	Y
3	K3	3	2000	Y
4	K4	4	2000	Y
5	K5	5	2000	Y
6	K6	6	2000	Y
7	K7	7	2000	Y
8	K8	8	2000	Y
9	K9	9	2000	Y
10	K10	10	2000	Y
11	K11	11	2000	Y
12	K12	12	2000	Y
13	K13	13	2000	Y
14	K14	14	2000	Y
15	K15	15	2000	Y
16	K16	16	2000	Y
17	K17	17	2000	Y
18	K18	18	2000	Y
19	K19	19	2000	Y
20	K20	20	2000	Y
21	K21	21	2000	Y
22	K22	22	2000	Y
1000	BiLEVE	1000	0	Y
2000	Axiom	2000	0	Y